,0,1,2,3,4,5,6,7,8,9,10
102,1.0,26.833333333333332,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9903846153846154,4.0
103,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
104,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
105,1.0,9.125,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
106,1.0,8.041666666666666,1.0,1.0,0.9072164948453608,0.9952718676122931,1.0,1.0,1.0,0.9519230769230769,4.0
107,1.0,9.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
108,1.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9760765550239234,2.0
109,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
110,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
111,1.0,9.458333333333334,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9569377990430622,3.0
112,1.0,10.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9807692307692307,3.0
113,1.0,14.416666666666666,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9856459330143541,3.0
114,1.0,7.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9809523809523809,2.0
115,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
116,1.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
117,1.0,21.958333333333332,1.0,1.0,1.0,0.9976359338061466,1.0,1.0,0.0,0.9523809523809523,4.0
118,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
119,1.0,6.958333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9904761904761905,2.0
120,1.0,32.208333333333336,1.0,1.0,1.0,0.9952718676122931,1.0,1.0,1.0,0.937799043062201,3.0
121,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
122,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
123,1.0,4.25,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
124,1.0,5.041666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9760765550239234,2.0
125,1.0,11.541666666666666,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
126,0.0,26.166666666666668,1.0,1.0,1.0,0.9976359338061466,1.0,0.0,1.0,0.9523809523809523,5.0
127,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
128,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
129,1.0,6.833333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9904761904761905,2.0
130,1.0,11.333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
131,1.0,18.666666666666668,1.0,1.0,1.0,0.9952718676122931,1.0,0.0,1.0,0.9569377990430622,4.0
132,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
133,1.0,7.333333333333333,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9760765550239234,4.0
134,1.0,20.625,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
135,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
136,1.0,12.416666666666666,1.0,1.0,1.0,0.7247160627366144,1.0,1.0,0.0,1.0,3.0
137,1.0,25.416666666666668,0.0,0.0,1.0,0.9970588235294118,1.0,1.0,1.0,0.9722222222222222,4.0
138,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
139,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
140,1.0,12.625,0.0,0.0,1.0,0.9941176470588236,1.0,1.0,1.0,1.0,3.0
141,1.0,3.5833333333333335,1.0,1.0,1.0,0.9926470588235294,1.0,1.0,1.0,1.0,2.0
142,1.0,9.583333333333334,1.0,1.0,1.0,0.9985294117647059,1.0,1.0,1.0,0.9722222222222222,3.0
143,1.0,11.041666666666666,1.0,1.0,1.0,0.8698517298187809,1.0,1.0,1.0,1.0,2.0
144,1.0,12.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
145,1.0,13.416666666666666,0.0,0.0,1.0,0.9934518241347053,1.0,1.0,1.0,1.0,3.0
146,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
147,1.0,15.208333333333334,0.0,0.0,1.0,0.983177570093458,1.0,1.0,1.0,0.9722222222222222,3.0
148,1.0,4.916666666666667,0.0,0.0,1.0,0.9915809167446211,1.0,1.0,1.0,1.0,2.0
149,1.0,4.916666666666667,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150,1.0,9.125,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
151,1.0,9.041666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,2.0
152,1.0,18.375,0.0,0.0,1.0,0.9906367041198502,1.0,1.0,0.0,1.0,4.0
153,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
154,1.0,45.583333333333336,0.0,0.0,1.0,0.9766136576239476,1.0,1.0,1.0,0.9722222222222222,4.0
155,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
156,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
157,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
158,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
159,1.0,31.0,1.0,1.0,1.0,0.9925233644859813,1.0,0.0,1.0,0.9722222222222222,4.0
160,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
161,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
162,1.0,6.875,0.0,0.0,1.0,0.9925233644859813,1.0,0.0,1.0,1.0,4.0
163,1.0,13.666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
164,1.0,43.25,0.0,0.0,1.0,0.9822926374650512,1.0,1.0,1.0,1.0,2.0
165,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
166,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
167,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
168,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
169,1.0,3.2083333333333335,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0
170,1.0,10.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,2.0
171,1.0,17.208333333333332,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0
172,0.0,0.9583333333333334,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0
173,0.0,8.666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9722222222222222,4.0
174,1.0,9.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
175,1.0,23.75,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
176,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
177,1.0,2.9583333333333335,0.0,0.0,1.0,0.9989510489510489,1.0,0.0,1.0,1.0,3.0
178,1.0,27.75,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9722222222222222,3.0
