,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
21,1.0,1.0,0.35,1.0,1.0,1.0,1.0,0.5,0.9583333333333334,1.0,1.0,0.7894736842105263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5882352941176471,0.0,1.0,1.0,1.0,1.0,6.0
22,1.0,1.0,0.35,1.0,1.0,1.0,1.0,0.25,24.083333333333332,1.0,1.0,0.8421052631578947,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9984362783424551,0.35,1.0,0.8888888888888888,0.0,1.0,1.0,0.9722222222222222,1.0,11.0
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,7.291666666666667,1.0,1.0,0.8421052631578947,0.0,0.0,0.3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10526315789473684,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,9.0
24,1.0,1.0,0.35,1.0,1.0,1.0,1.0,0.5,2.6666666666666665,1.0,1.0,0.8421052631578947,0.0,0.0,0.3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10526315789473684,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,10.0
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,10.958333333333334,1.0,1.0,0.7368421052631579,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9976544175136826,0.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
26,1.0,1.0,0.35,1.0,1.0,1.0,1.0,0.6,17.0,1.0,1.0,0.7894736842105263,0.0,0.0,0.3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10526315789473684,1.0,1.0,0.9707779886148008,0.35,1.0,0.0,0.0,1.0,1.0,1.0,1.0,12.0
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
28,1.0,1.0,0.35,1.0,1.0,1.0,1.0,0.4,18.0,1.0,1.0,0.7368421052631579,0.0,0.0,0.3,0.6666666666666666,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.10526315789473684,1.0,1.0,0.967741935483871,0.35,1.0,0.0,0.0,1.0,1.0,0.9722222222222222,1.0,15.0
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.16666666666666666,1.0,1.0,0.8947368421052632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5882352941176471,0.0,1.0,1.0,1.0,1.0,5.0
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,28.833333333333332,1.0,1.0,0.8421052631578947,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9685009487666034,0.425,1.0,0.5882352941176471,0.0,1.0,1.0,1.0,1.0,7.0
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
33,1.0,1.0,0.325,1.0,1.0,1.0,1.0,0.0,6.5,1.0,1.0,0.7894736842105263,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0
34,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.0,26.0,1.0,1.0,0.7368421052631579,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7024029574861368,0.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0
35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
