real_id,nb_assigned_ids,nb_original_fp,ratio,max_chain
e9599456-8981-4cc4-b128-82ca0012fb64,4,22,5.500000,8
c07ff153-9e23-4312-a895-634db3ee5e20,11,84,7.636364,23
9e3c679e-3548-47db-a84c-2471170dd5f9,2,6,3.000000,4
7919b794-334e-42d4-ae6d-cc5e8fd3cbeb,1,33,33.000000,33
5f35250a-d81e-41b2-9564-ff94a61cfa88,1,3,3.000000,3
da1a2d7f-932d-4a30-b182-c07ecc3443ac,8,55,6.875000,32
374b89ae-6635-4710-aa3a-b1628e146d8a,3,42,14.000000,27
97c26efe-10d8-4b54-8918-61fce6c86e73,2,73,36.500000,71
ec0f4dc7-2248-4e94-bafe-6df366348cb8,1,10,10.000000,10
42a98cef-7642-414d-a916-237ceb0abbf6,2,46,23.000000,38
505a6b31-fc4e-421d-9a42-4882535d0da2,5,37,7.400000,14
6a62a318-0245-4aa5-9f3f-a6e200f8724a,6,71,11.833333,48
d8d2f244-6fe8-4084-86a0-7a0763b579ce,4,67,16.750000,39
e00872da-35ca-4faf-98f0-3eacdc654102,3,44,14.666667,21
0bf501d7-065a-4459-a4aa-29fb7b0e7d69,1,52,52.000000,52
7a26546e-0a07-423c-9e97-0ef56212920d,1,65,65.000000,65
718eaf95-e9e2-42a2-ba4c-5316b5f45fdf,2,48,24.000000,34
b5ffd988-ffeb-4513-b78a-5806be0c7dbf,1,44,44.000000,44
8144d312-23f4-4c5b-b369-7f52ee2900c9,6,57,9.500000,18
7d7d8bee-c73e-4544-a78c-2d4e29f75749,1,42,42.000000,42
e4ab94f4-8c05-4815-afbf-3470cfa23a6a,5,30,6.000000,14
519e56e4-9bbe-493d-9a82-70f9d8dc5c69,4,45,11.250000,24
23adb02f-8cae-4303-bbd5-f125e974560d,5,30,6.000000,14
9c552fa8-fe9f-4618-86af-58441f5987ae,1,45,45.000000,45
a7b146b8-7a3c-4fdc-b0cd-416fa5b618c7,6,33,5.500000,11
aea7bc17-b661-4da9-803a-347339e457bc,1,31,31.000000,31
a5f01fef-bcda-49d6-b726-2fe0d7a4e928,5,23,4.600000,8
e0d3387e-cac6-41e5-b9f5-963818301cf3,3,13,4.333333,7
53b3084a-f3e3-425b-899d-42dd80c2d0ef,9,19,2.111111,5
667dd617-b20d-4e76-bbd8-c70e206668c5,3,11,3.666667,7
c3af36ba-81f4-4652-9523-44f2217dc0f0,2,10,5.000000,9
